"239";"RI";"Rhode Island";"Rams";NULL;NULL;"0";NULL;NULL;"RhodeIsland.gif";"CAA";;NULL;"ACTIVE"
"269";"RICH";"Richmond";"Spiders";NULL;NULL;"0";NULL;NULL;"Richmond.gif";"CAA";;NULL;"ACTIVE"
"131";"TOW";"Towson";"Tigers";NULL;NULL;"0";NULL;NULL;"Towson.gif";"CAA";;NULL;"ACTIVE"
"234";"VILL";"Villanova";"Wildcats";NULL;NULL;"0";NULL;NULL;"Villanova.gif";"CAA";;NULL;"ACTIVE"
"2741";"WM";"William & Mary";"Tribe";NULL;NULL;"0";NULL;NULL;"William&Mary.gif";"CAA";;NULL;"ACTIVE"
"39";"CAP";"Cal Poly";"Mustangs";NULL;NULL;"0";NULL;NULL;"CalPoly.gif";"Great West";;NULL;"ACTIVE"
"167";"NOD";"North Dakota";"Fighting Sioux";NULL;NULL;"0";NULL;NULL;"NorthDakota.gif";"Great West";;NULL;"ACTIVE"
"245";"SOD";"South Dakota";"Coyotes";NULL;NULL;"0";NULL;NULL;"SouthDakota.gif";"Great West";;NULL;"ACTIVE"
"265";"SOUT";"Southern Utah";"Thunderbirds";NULL;NULL;"0";NULL;NULL;"SouthernUtah.gif";"Great West";;NULL;"ACTIVE"
"314";"UCD";"UC Davis";"Aggies";NULL;NULL;"0";NULL;NULL;"UCDavis.gif";"Great West";;NULL;"ACTIVE"
"2440";"NCC";"North Carolina Central";"Eagles";NULL;NULL;"0";NULL;NULL;"NorthCarolinaCentral.gif";"IAA Independents";;NULL;"ACTIVE"
"307";"OLDD";"Old Dominion";"Monarchs";NULL;NULL;"0";NULL;NULL;"OldDominion.gif";"IAA Independents";;NULL;"ACTIVE"
"2554";"SST";"Savannah State";"Tigers";NULL;NULL;"0";NULL;NULL;"SavannahState.gif";"IAA Independents";;NULL;"ACTIVE"
"2748";"WSR";"Winston-Salem";"Rams";NULL;NULL;"0";NULL;NULL;"Winston-Salem.gif";"IAA Independents";;NULL;"ACTIVE"
"237";"BRO";"Brown";"Bears";NULL;NULL;"0";NULL;NULL;"Brown.gif";"Ivy";;NULL;"ACTIVE"
"183";"COL";"Columbia";"Lions";NULL;NULL;"0";NULL;NULL;"Columbia.gif";"Ivy";;NULL;"ACTIVE"
"184";"COR";"Cornell";"Big Red";NULL;NULL;"0";NULL;NULL;"Cornell.gif";"Ivy";;NULL;"ACTIVE"
"171";"DAR";"Dartmouth";"Big Green";NULL;NULL;"0";NULL;NULL;"Dartmouth.gif";"Ivy";;NULL;"ACTIVE"
"120";"HAR";"Harvard";"Crimson";NULL;NULL;"0";NULL;NULL;"Harvard.gif";"Ivy";;NULL;"ACTIVE"
"231";"PA";"Pennsylvania";"Quakers";NULL;NULL;"0";NULL;NULL;"Pennsylvania.gif";"Ivy";;NULL;"ACTIVE"
"175";"PRIN";"Princeton";"Tigers";NULL;NULL;"0";NULL;NULL;"Princeton.gif";"Ivy";;NULL;"ACTIVE"
"55";"YALE";"Yale";"Bulldogs";NULL;NULL;"0";NULL;NULL;"Yale.gif";"Ivy";;NULL;"ACTIVE"
"2077";"BETH";"Bethune-Cookman";"Wildcats";NULL;NULL;"0";NULL;NULL;"Bethune-Cookman.gif";"MEAC";;NULL;"ACTIVE"
